treeID nodeID parmID contPT mwcpSZ
1 1 1 3 -1.349385 0
2 1 1 2 0 0
3 1 1 0 NA 0
4 1 3 0 NA 0
5 1 2 3 0.597595 0
6 1 2 1 0 0
7 1 2 3 -0.360528 0
8 1 2 2 0 0
9 1 2 0 NA 0
10 1 7 0 NA 0
11 1 6 3 0.064841 0
12 1 6 0 NA 0
13 1 8 0 NA 0
14 1 5 1 1 0
15 1 5 3 0.247674 0
16 1 5 3 -0.424354 0
17 1 5 0 NA 0
18 1 11 3 -0.034858 0
19 1 11 0 NA 0
20 1 12 0 NA 0
21 1 10 0 NA 0
22 1 9 3 -0.623487 0
23 1 9 0 NA 0
24 1 13 3 0.181009 0
25 1 13 2 0 0
26 1 13 0 NA 0
27 1 15 0 NA 0
28 1 14 0 NA 0
29 1 4 1 0 0
30 1 4 3 1.059585 0
31 1 4 0 NA 0
32 1 17 0 NA 0
33 1 16 1 1 0
34 1 16 2 0 0
35 1 16 0 NA 0
36 1 19 0 NA 0
37 1 18 3 1.083714 0
38 1 18 0 NA 0
39 1 20 0 NA 0
40 2 1 1 0 0
41 2 1 3 -0.826206 0
42 2 1 0 NA 0
43 2 3 3 -0.412813 0
44 2 3 0 NA 0
45 2 4 3 1.059585 0
46 2 4 2 0 0
47 2 4 3 0.232759 0
48 2 4 0 NA 0
49 2 7 0 NA 0
50 2 6 3 0.28343 0
51 2 6 0 NA 0
52 2 8 0 NA 0
53 2 5 0 NA 0
54 2 2 1 1 0
55 2 2 3 0.309537 0
56 2 2 3 -0.371551 0
57 2 2 3 -0.903417 0
58 2 2 0 NA 0
59 2 12 0 NA 0
60 2 11 2 0 0
61 2 11 0 NA 0
62 2 13 0 NA 0
63 2 10 3 1.227423 0
64 2 10 3 0.703881 0
65 2 10 0 NA 0
66 2 15 0 NA 0
67 2 14 0 NA 0
68 2 9 3 0.163346 0
69 2 9 3 -0.363469 0
70 2 9 3 -0.716953 0
71 2 9 0 NA 0
72 2 18 0 NA 0
73 2 17 0 NA 0
74 2 16 3 0.709055 0
75 2 16 0 NA 0
76 2 19 3 1.174677 0
77 2 19 0 NA 0
78 2 20 0 NA 0
79 3 1 3 -1.237966 0
80 3 1 3 -1.515357 0
81 3 1 0 NA 0
82 3 3 0 NA 0
83 3 2 3 -1.030387 0
84 3 2 0 NA 0
85 3 4 3 0.345863 0
86 3 4 1 0 0
87 3 4 3 0.03459 0
88 3 4 3 -0.392154 0
89 3 4 0 NA 0
90 3 8 0 NA 0
91 3 7 0 NA 0
92 3 6 3 -0.371551 0
93 3 6 1 1 0
94 3 6 0 NA 0
95 3 10 0 NA 0
96 3 9 1 1 0
97 3 9 3 -0.034834 0
98 3 9 0 NA 0
99 3 12 0 NA 0
100 3 11 3 -0.007909 0
101 3 11 0 NA 0
102 3 13 0 NA 0
103 3 5 3 0.547286 0
104 3 5 0 NA 0
105 3 14 1 0 0
106 3 14 2 0 0
107 3 14 0 NA 0
108 3 16 0 NA 0
109 3 15 1 1 0
110 3 15 3 0.948777 0
111 3 15 0 NA 0
112 3 18 0 NA 0
113 3 17 2 0 0
114 3 17 0 NA 0
115 3 19 0 NA 0
116 4 1 1 0 0
117 4 1 3 -1.177673 0
118 4 1 0 NA 0
119 4 3 3 1.069795 0
120 4 3 3 0.053078 0
121 4 3 3 -0.664111 0
122 4 3 0 NA 0
123 4 6 3 -0.258752 0
124 4 6 0 NA 0
125 4 7 0 NA 0
126 4 5 2 0 0
127 4 5 0 NA 0
128 4 8 0 NA 0
129 4 4 0 NA 0
130 4 2 3 -1.384356 0
131 4 2 0 NA 0
132 4 9 1 1 0
133 4 9 3 0.356204 0
134 4 9 3 -0.004771 0
135 4 9 3 -0.504359 0
136 4 9 0 NA 0
137 4 13 0 NA 0
138 4 12 0 NA 0
139 4 11 3 1.123459 0
140 4 11 3 0.639111 0
141 4 11 0 NA 0
142 4 15 0 NA 0
143 4 14 0 NA 0
144 4 10 3 -0.654265 0
145 4 10 0 NA 0
146 4 16 3 0.181009 0
147 4 16 2 0 0
148 4 16 0 NA 0
149 4 18 0 NA 0
150 4 17 3 0.52441 0
151 4 17 0 NA 0
152 4 19 2 0 0
153 4 19 0 NA 0
154 4 20 0 NA 0
155 5 1 3 -1.327859 0
156 5 1 2 0 0
157 5 1 0 NA 0
158 5 3 0 NA 0
159 5 2 1 0 0
160 5 2 3 0.550081 0
161 5 2 3 0.040576 0
162 5 2 3 -0.74333 0
163 5 2 0 NA 0
164 5 7 3 -0.367616 0
165 5 7 0 NA 0
166 5 8 0 NA 0
167 5 6 0 NA 0
168 5 5 3 0.965904 0
169 5 5 0 NA 0
170 5 9 0 NA 0
171 5 4 1 1 0
172 5 4 3 0.072297 0
173 5 4 3 -0.297426 0
174 5 4 3 -0.74229 0
175 5 4 0 NA 0
176 5 13 0 NA 0
177 5 12 0 NA 0
178 5 11 3 0.637717 0
179 5 11 0 NA 0
180 5 14 3 1.139625 0
181 5 14 0 NA 0
182 5 15 0 NA 0
183 5 10 3 -0.568258 0
184 5 10 0 NA 0
185 5 16 3 0.873807 0
186 5 16 3 0.454114 0
187 5 16 3 0.02412 0
188 5 16 0 NA 0
189 5 19 0 NA 0
190 5 18 0 NA 0
191 5 17 0 NA 0
192 6 1 1 0 0
193 6 1 3 -0.525871 0
194 6 1 3 -1.075022 0
195 6 1 0 NA 0
196 6 4 0 NA 0
197 6 3 3 -0.137157 0
198 6 3 0 NA 0
199 6 5 3 0.242295 0
200 6 5 0 NA 0
201 6 6 3 0.777444 0
202 6 6 0 NA 0
203 6 7 0 NA 0
204 6 2 1 1 0
205 6 2 3 -0.54231 0
206 6 2 3 -1.041883 0
207 6 2 0 NA 0
