treeID nodeID parmID contPT mwcpSZ
1 1 1 85 0 0
2 1 1 10 0.000152371260000192 0
3 1 1 68 0.216216216026004 0
4 1 1 34 86.73045465627 0
5 1 1 8 0.000245399 0
6 1 1 22 0.000464252554224784 0
7 1 1 98 14.82704568 0
8 1 1 3 5.7447067e-05 0
9 1 1 0 NA 0
10 1 9 103 1 0
11 1 9 0 NA 0
12 1 10 0 NA 0
13 1 8 0 NA 0
14 1 7 0 NA 0
15 1 6 8 0.00033912585 0
16 1 6 25 0.00178291029888424 0
17 1 6 0 NA 0
18 1 12 0 NA 0
19 1 11 104 1 0
20 1 11 29 1.11707895630657 0
21 1 11 0 NA 0
22 1 14 0 NA 0
23 1 13 0 NA 0
24 1 5 0 NA 0
25 1 4 0 NA 0
26 1 3 37 81.9085595982927 0
27 1 3 98 9.542927771 0
28 1 3 0 NA 0
29 1 16 61 0.0399044315 0
30 1 16 80 0.00165565328998344 0
31 1 16 79 0 0
32 1 16 9 0.000250394607042478 0
33 1 16 0 NA 0
34 1 20 80 4.20668999978967e-06 0
35 1 20 65 2235983.0446794 0
36 1 20 0 NA 0
37 1 22 0 NA 0
38 1 21 0 NA 0
39 1 19 62 19.3909407136334 0
40 1 19 0 NA 0
41 1 23 61 -1.00000008274037e-11 0
42 1 23 97 0.066338964 0
43 1 23 0 NA 0
44 1 25 0 NA 0
45 1 24 99 12 0
46 1 24 29 1.07118644068233 0
47 1 24 0 NA 0
48 1 27 0 NA 0
49 1 26 0 NA 0
50 1 18 0 NA 0
51 1 17 0 NA 0
52 1 15 0 NA 0
53 1 2 4 0.00205138681 0
54 1 2 10 8.06132389998259e-05 0
55 1 2 69 40.4955317366993 0
56 1 2 32 0.0102040817917493 0
57 1 2 0 NA 0
58 1 31 10 2.31998399999975e-05 0
59 1 31 0 NA 0
60 1 32 0 NA 0
61 1 30 1 2010052 0
62 1 30 34 77.1087837832506 0
63 1 30 0 NA 0
64 1 34 0 NA 0
65 1 33 31 0.0064360418396782 0
66 1 33 52 0.146111422898539 0
67 1 33 0 NA 0
68 1 36 0 NA 0
69 1 35 51 0.333333332206 0
70 1 35 69 86.0823699991645 0
71 1 35 16 358.529215358931 0
72 1 35 0 NA 0
73 1 39 0 NA 0
74 1 38 0 NA 0
75 1 37 0 NA 0
76 1 29 98 12.52754028 0
77 1 29 7 0.00126343405800127 0
78 1 29 1 2012032 0
79 1 29 79 0 0
80 1 29 0 NA 0
81 1 43 24 0.00329174329098583 0
82 1 43 0 NA 0
83 1 44 31 0.02512919243 0
84 1 44 87 0.0019648939000393 0
85 1 44 86 1 0
86 1 44 0 NA 0
87 1 47 0 NA 0
88 1 46 0 NA 0
89 1 45 0 NA 0
90 1 42 0 NA 0
91 1 41 29 1.056566104713 0
92 1 41 0 NA 0
93 1 48 0 NA 0
94 1 40 53 25.4114835308968 0
95 1 40 0 NA 0
96 1 49 1 2010112 0
97 1 49 1 2009111 0
98 1 49 3 0.001043315338 0
99 1 49 38 0.00156152341243299 0
100 1 49 0 NA 0
101 1 53 0 NA 0
102 1 52 0 NA 0
103 1 51 67 0.0690972881205919 0
104 1 51 74 0 0
105 1 51 0 NA 0
106 1 55 0 NA 0
107 1 54 100 21.3434039558649 0
108 1 54 0 NA 0
109 1 56 0 NA 0
110 1 50 18 0.122171945693775 0
111 1 50 47 0.00309045524362579 0
112 1 50 34 83.130971726201 0
113 1 50 28 0.0327138530348874 0
114 1 50 0 NA 0
115 1 60 0 NA 0
116 1 59 0 NA 0
117 1 58 77 0.5 0
118 1 58 0 NA 0
119 1 61 0 NA 0
120 1 57 68 0.184331797217153 0
121 1 57 76 0.0509227151550923 0
122 1 57 0 NA 0
123 1 63 0 NA 0
124 1 62 0 NA 0
